6.528084 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:2
6.528091 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 2 not found 
6.528095 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:2
6.528099 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 2 not found 
6.528107 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:2
6.528114 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 3 not found 
6.528118 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:3
6.528126 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 3 not found 
6.528130 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:3
6.528133 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 3 not found 
6.528141 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:3
6.528145 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 4 not found 
6.528152 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:4
6.528160 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 4 not found 
6.528164 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:4
6.528168 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 4 not found 
6.528172 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:4
6.528179 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 5 not found 
6.528183 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:5
