6.345428 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetCfg wlanIndex : 1
6.345444 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetCfg Input radioIndex = 1 Band=0 is  not found in capability
6.345451 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 1
6.345463 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 1 Band=0 is  not found in capability
6.346344 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetCfg wlanIndex : 2
6.346367 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetCfg Input radioIndex = 2 Band=0 is  not found in capability
6.346371 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 2
6.346386 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 2 Band=0 is  not found in capability
6.347084 [mod=WIFI, lvl=WARN] [tid=695] CosaWifiInitialize - Initialize middle layer ...
6.347099 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 0 not found 
6.347103 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:0
6.347126 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 0 not found 
6.347134 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:0
6.347137 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 0 not found 
6.347141 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:0
6.347157 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 1 not found 
6.347160 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:1
6.347172 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 1 not found 
6.347176 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:1
6.347183 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 1 not found 
6.347187 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:1
6.347195 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 2 not found 
6.347198 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:2
6.347206 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 2 not found 
6.347214 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:2
6.347218 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 2 not found 
6.347221 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:2
6.347229 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 3 not found 
6.347233 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:3
6.347244 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 3 not found 
6.347248 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:3
6.347252 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 3 not found 
6.347260 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:3
6.347263 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 4 not found 
6.347271 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:4
