6.360413 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:2
6.360420 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 2 not found 
6.360432 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:2
6.360435 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 3 not found 
6.360443 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:3
6.360451 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 3 not found 
6.360455 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:3
6.360458 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 3 not found 
6.360466 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:3
6.360474 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 4 not found 
6.360477 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:4
6.360485 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 4 not found 
6.360489 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:4
6.360493 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 4 not found 
6.360497 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:4
6.360504 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 5 not found 
6.360508 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:5
6.360516 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 5 not found 
6.360519 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:5
6.360527 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 5 not found 
6.360531 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:5
6.360538 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 6 not found 
6.360542 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:6
6.360550 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 6 not found 
6.360554 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:6
6.360558 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 6 not found 
6.360565 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:6
6.360569 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 7 not found 
6.360573 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:7
6.360580 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 7 not found 
